datetime,machineID,volt,rotate,pressure,vibration
2015-06-01 00:00:00,1,164.33,411.6,99.11,44.62
2015-06-01 01:00:00,1,142.76,302.19,104.15,35.82
2015-06-01 02:00:00,1,158.94,428.34,90.43,32.77
2015-06-01 03:00:00,1,152.39,382.78,94.2,41.29
2015-06-01 04:00:00,1,177.91,435.47,99.96,42.67
2015-06-01 05:00:00,1,187.94,398.13,94.91,37.65
2015-06-01 06:00:00,1,155.19,351.44,108.46,39.27
2015-06-01 07:00:00,1,178.79,383.27,95.96,41.39
2015-06-01 08:00:00,1,145.95,400.59,96.52,39.52
2015-06-01 09:00:00,1,159.23,425.29,102.26,41.92
2015-06-01 10:00:00,1,147.43,404.19,101.79,39.91
2015-06-01 11:00:00,1,153.72,457.51,96.58,39.19
2015-06-01 12:00:00,1,188.82,426.33,103.81,31.29
2015-06-01 13:00:00,1,180.09,313.4,107.75,30.93
2015-06-01 14:00:00,1,171.28,331.48,109.61,31.98
2015-06-01 15:00:00,1,169.33,390.24,98.85,32.12
2015-06-01 16:00:00,1,182.75,445.65,90.05,34.51
2015-06-01 17:00:00,1,182.99,316.59,101.43,32.2
2015-06-01 18:00:00,1,140.4,465.11,97.93,42.76
2015-06-01 19:00:00,1,163.56,468.4,92.77,41.84
2015-06-01 20:00:00,1,188.96,420.48,90.41,33.93
2015-06-01 21:00:00,1,177.51,366.95,92.51,30.23
2015-06-01 22:00:00,1,184.47,387.56,97.2,39.37
2015-06-01 23:00:00,1,146.13,421.5,95.02,39.74
2015-06-02 00:00:00,1,152.99,451.34,106.41,31.43
2015-06-02 01:00:00,1,140.87,330.06,107.83,42.86
2015-06-02 02:00:00,1,158.83,490.13,98.5,40.73
2015-06-02 03:00:00,1,151.27,306.92,100.99,35.82
2015-06-02 04:00:00,1,150.64,376.06,96.79,35.27
2015-06-02 05:00:00,1,156.98,492.92,105.84,44.01
2015-06-02 06:00:00,1,144.08,356.31,109.09,44.75
2015-06-02 07:00:00,1,184.71,413.83,98.0,40.74
2015-06-02 08:00:00,1,185.57,403.21,95.52,30.18
2015-06-02 09:00:00,1,173.68,477.49,106.79,38.75
2015-06-02 10:00:00,1,157.62,470.54,108.22,36.33
2015-06-02 11:00:00,1,177.44,365.04,102.13,36.61
2015-06-02 12:00:00,1,158.54,487.96,107.6,36.21
2015-06-02 13:00:00,1,141.29,454.16,97.42,40.99
2015-06-02 14:00:00,1,147.67,491.33,104.87,32.57
2015-06-02 15:00:00,1,161.17,486.26,99.68,42.99
2015-06-02 16:00:00,1,159.0,467.57,100.99,38.44
2015-06-02 17:00:00,1,145.02,346.14,109.33,31.31
2015-06-02 18:00:00,1,145.05,362.1,93.16,35.18
2015-06-02 19:00:00,1,189.03,311.92,108.31,43.77
2015-06-02 20:00:00,1,142.74,438.89,108.51,37.31
2015-06-02 21:00:00,1,188.85,471.65,103.54,37.46
2015-06-02 22:00:00,1,174.63,427.24,107.88,36.14
2015-06-02 23:00:00,1,145.53,419.85,93.67,39.9
2015-06-03 00:00:00,1,150.49,386.93,103.79,39.07
2015-06-03 01:00:00,1,163.76,312.29,109.44,32.08
2015-06-03 02:00:00,1,183.56,465.41,91.92,32.15
2015-06-03 03:00:00,1,156.6,325.93,96.09,39.33
2015-06-03 04:00:00,1,149.15,317.88,102.52,32.84
2015-06-03 05:00:00,1,174.71,364.28,95.59,37.0
2015-06-03 06:00:00,1,147.79,330.2,90.42,32.11
2015-06-03 07:00:00,1,150.82,494.83,107.58,37.09
2015-06-03 08:00:00,1,158.27,478.67,105.47,43.7
2015-06-03 09:00:00,1,189.23,401.12,95.07,39.28
2015-06-03 10:00:00,1,149.39,411.06,108.17,31.33
2015-06-03 11:00:00,1,183.21,496.36,92.16,32.19
2015-06-03 12:00:00,1,144.81,367.29,96.31,30.16
2015-06-03 13:00:00,1,183.0,401.06,106.99,43.33
2015-06-03 14:00:00,1,170.3,349.89,107.87,41.02
2015-06-03 15:00:00,1,170.95,335.09,99.98,31.19
2015-06-03 16:00:00,1,143.07,426.0,95.53,30.3
2015-06-03 17:00:00,1,188.95,462.19,93.39,33.8
2015-06-03 18:00:00,1,152.11,370.04,109.83,42.89
2015-06-03 19:00:00,1,150.32,309.3,99.68,31.91
2015-06-03 20:00:00,1,151.26,418.18,101.38,36.54
2015-06-03 21:00:00,1,143.42,467.91,103.78,35.51
2015-06-03 22:00:00,1,145.23,412.63,92.19,42.63
2015-06-03 23:00:00,1,142.65,332.29,106.9,44.58
2015-06-04 00:00:00,1,186.59,416.27,94.28,36.49
2015-06-04 01:00:00,1,169.11,415.11,93.95,42.13
2015-06-04 02:00:00,1,166.7,413.0,91.86,34.32
2015-06-04 03:00:00,1,175.95,301.55,103.07,31.06
2015-06-04 04:00:00,1,165.22,373.77,109.03,44.39
2015-06-04 05:00:00,1,152.53,450.69,101.3,31.9
2015-06-04 06:00:00,1,182.53,379.0,101.37,43.97
2015-06-04 07:00:00,1,162.83,460.49,104.16,36.78
2015-06-04 08:00:00,1,151.54,436.71,106.65,32.37
2015-06-04 09:00:00,1,153.39,496.34,94.47,41.08
2015-06-04 10:00:00,1,146.61,458.43,104.92,43.31
2015-06-04 11:00:00,1,160.3,475.01,106.98,36.35
2015-06-04 12:00:00,1,170.04,479.09,96.04,44.23
2015-06-04 13:00:00,1,162.66,419.89,109.65,34.18
2015-06-04 14:00:00,1,174.45,491.65,103.04,32.07
2015-06-04 15:00:00,1,158.39,315.2,99.69,38.69
2015-06-04 16:00:00,1,144.03,492.44,94.66,31.13
2015-06-04 17:00:00,1,164.54,454.09,93.22,40.0
2015-06-04 18:00:00,1,171.92,401.06,98.14,43.41
2015-06-04 19:00:00,1,149.01,438.19,103.64,39.03
2015-06-04 20:00:00,1,151.01,323.56,100.03,38.87
2015-06-04 21:00:00,1,187.15,320.43,102.52,36.7
2015-06-04 22:00:00,1,143.06,443.53,109.71,43.95
2015-06-04 23:00:00,1,183.65,435.89,94.91,32.07
2015-06-05 00:00:00,1,173.55,321.44,103.98,44.58
2015-06-05 01:00:00,1,187.12,317.78,97.03,43.43
2015-06-05 02:00:00,1,165.99,402.95,98.1,40.23
2015-06-05 03:00:00,1,176.18,363.53,104.26,39.29
2015-06-05 04:00:00,1,151.23,408.24,103.79,34.47
2015-06-05 05:00:00,1,182.85,361.76,106.36,30.67
2015-06-05 06:00:00,1,143.71,416.24,92.45,31.22
2015-06-05 07:00:00,1,147.49,433.64,103.98,35.43
2015-06-05 08:00:00,1,147.66,366.61,108.94,33.24
2015-06-05 09:00:00,1,161.33,319.35,92.65,30.6
2015-06-05 10:00:00,1,154.03,443.6,103.5,38.66
2015-06-05 11:00:00,1,165.19,367.68,109.31,30.22
2015-06-05 12:00:00,1,155.83,477.97,98.58,33.3
2015-06-05 13:00:00,1,164.29,382.64,99.94,41.4
2015-06-05 14:00:00,1,145.46,461.59,92.58,44.06
2015-06-05 15:00:00,1,169.65,389.76,95.4,39.27
2015-06-05 16:00:00,1,185.26,455.59,106.28,37.08
2015-06-05 17:00:00,1,145.57,392.28,93.89,44.05
2015-06-05 18:00:00,1,142.43,444.61,91.82,37.98
2015-06-05 19:00:00,1,161.85,355.5,105.65,35.74
2015-06-05 20:00:00,1,172.08,499.57,91.33,32.92
2015-06-05 21:00:00,1,182.98,375.58,100.09,43.79
2015-06-05 22:00:00,1,180.74,356.25,97.38,36.64
2015-06-05 23:00:00,1,143.75,431.89,94.34,43.03
2015-06-06 00:00:00,1,183.04,335.42,97.03,36.76
2015-06-06 01:00:00,1,142.45,346.04,103.8,41.38
2015-06-06 02:00:00,1,184.43,422.33,108.18,32.87
2015-06-06 03:00:00,1,160.46,423.48,95.81,33.03
2015-06-06 04:00:00,1,170.17,383.03,106.63,39.74
2015-06-06 05:00:00,1,166.49,428.66,100.32,43.57
2015-06-06 06:00:00,1,156.61,313.49,109.05,30.42
2015-06-06 07:00:00,1,158.17,388.3,91.85,42.1
2015-06-06 08:00:00,1,189.62,483.68,94.35,37.67
2015-06-06 09:00:00,1,157.85,466.71,100.98,34.42
2015-06-06 10:00:00,1,165.41,302.19,101.19,41.61
2015-06-06 11:00:00,1,150.45,455.46,97.11,44.08
2015-06-06 12:00:00,1,151.95,334.16,107.73,38.21
2015-06-06 13:00:00,1,152.95,360.06,91.44,33.79
2015-06-06 14:00:00,1,187.7,317.58,104.1,31.11
2015-06-06 15:00:00,1,173.97,480.8,101.99,34.72
2015-06-06 16:00:00,1,172.81,476.6,107.66,43.93
2015-06-06 17:00:00,1,143.9,300.72,103.7,35.02
2015-06-06 18:00:00,1,186.99,499.7,93.82,38.71
2015-06-06 19:00:00,1,148.93,497.61,95.2,37.64
2015-06-06 20:00:00,1,144.57,366.71,100.54,44.92
2015-06-06 21:00:00,1,165.92,443.44,104.77,33.85
2015-06-06 22:00:00,1,142.08,424.23,94.97,41.28
2015-06-06 23:00:00,1,147.14,346.54,102.92,44.64
2015-06-07 00:00:00,1,171.53,473.5,97.39,31.31
2015-06-07 01:00:00,1,159.74,416.68,108.06,36.89
2015-06-07 02:00:00,1,166.16,436.08,90.88,30.68
2015-06-07 03:00:00,1,140.59,358.03,108.88,35.78
2015-06-07 04:00:00,1,174.15,398.21,90.29,33.83
2015-06-07 05:00:00,1,141.29,390.63,92.37,33.31
2015-06-07 06:00:00,1,154.07,320.79,102.69,41.69
2015-06-07 07:00:00,1,175.51,469.93,98.67,36.18
2015-06-07 08:00:00,1,150.02,468.19,93.71,31.85
2015-06-07 09:00:00,1,189.53,333.68,92.64,42.04
2015-06-07 10:00:00,1,174.79,341.89,92.8,39.61
2015-06-07 11:00:00,1,141.19,381.94,96.76,37.95
2015-06-07 12:00:00,1,179.06,483.99,98.99,38.48
2015-06-07 13:00:00,1,150.79,326.24,102.82,36.6
2015-06-07 14:00:00,1,180.21,424.18,99.93,36.27
2015-06-07 15:00:00,1,185.83,442.71,91.87,42.31
2015-06-07 16:00:00,1,178.41,324.6,104.5,35.64
2015-06-07 17:00:00,1,142.25,387.63,107.44,39.69
2015-06-07 18:00:00,1,156.16,437.55,97.75,37.04
2015-06-07 19:00:00,1,162.37,344.32,106.81,30.77
2015-06-07 20:00:00,1,151.03,480.83,105.47,30.08
2015-06-07 21:00:00,1,150.91,315.01,106.13,37.6
2015-06-07 22:00:00,1,143.21,450.18,94.82,32.28
2015-06-07 23:00:00,1,184.42,403.56,108.69,44.0
2015-06-08 00:00:00,1,182.9,354.34,96.77,30.23
2015-06-08 01:00:00,1,183.2,450.28,97.35,42.91
2015-06-08 02:00:00,1,154.11,426.02,93.09,40.46
2015-06-08 03:00:00,1,162.28,463.6,102.57,30.34
2015-06-08 04:00:00,1,147.49,421.86,101.32,30.49
2015-06-08 05:00:00,1,157.12,473.06,102.54,38.33
2015-06-08 06:00:00,1,154.07,400.24,98.16,34.72
2015-06-08 07:00:00,1,166.93,404.46,90.41,44.35
2015-06-08 08:00:00,1,140.6,346.44,108.72,38.4
2015-06-08 09:00:00,1,165.72,320.38,90.9,31.77
2015-06-08 10:00:00,1,181.88,409.77,93.08,42.8
2015-06-08 11:00:00,1,181.05,400.45,91.0,34.08
2015-06-08 12:00:00,1,164.74,362.3,101.71,42.75
2015-06-08 13:00:00,1,153.95,381.93,97.68,30.86
2015-06-08 14:00:00,1,183.37,442.94,94.15,36.1
2015-06-08 15:00:00,1,144.35,327.9,98.49,33.09
2015-06-08 16:00:00,1,189.57,497.17,98.28,34.86
2015-06-08 17:00:00,1,159.79,461.64,108.14,44.44
2015-06-08 18:00:00,1,188.94,475.49,91.47,35.03
2015-06-08 19:00:00,1,145.68,428.57,90.57,33.6
2015-06-08 20:00:00,1,155.2,375.49,93.82,34.27
2015-06-08 21:00:00,1,150.2,480.28,95.82,33.83
2015-06-08 22:00:00,1,168.47,305.1,109.97,38.91
2015-06-08 23:00:00,1,142.82,310.08,100.95,36.21
2015-06-09 00:00:00,1,158.39,468.66,107.25,38.96
2015-06-09 01:00:00,1,180.55,451.26,99.53,44.63
2015-06-09 02:00:00,1,148.08,457.53,95.58,37.68
2015-06-09 03:00:00,1,189.79,399.26,108.3,34.16
2015-06-09 04:00:00,1,165.8,322.46,102.39,32.75
2015-06-09 05:00:00,1,180.07,394.0,91.81,34.78
2015-06-09 06:00:00,1,157.46,400.73,102.64,33.86
2015-06-09 07:00:00,1,143.44,460.78,97.9,36.77
2015-06-09 08:00:00,1,141.59,469.49,100.92,33.45
2015-06-09 09:00:00,1,156.08,306.79,109.98,43.21
2015-06-09 10:00:00,1,186.65,421.5,92.72,42.06
2015-06-09 11:00:00,1,159.92,463.65,106.14,37.82
2015-06-09 12:00:00,1,149.87,395.56,104.69,40.44
